15
23
CB2 36 0
MYS 84 1
CC 16 0
CB1 72 1
AUD 16 0
COM 24 0
BIB 72 0
FE2 54 2
FE1 54 2
ELE 72 1
MEU 96 0
MEM 96 3
QYP 72 3
EGE 48 1
ENE 128 1
CB2 MYS 150 150
CB2 CB1 150 87.5
MYS CC 150 156
MYS CC 150 92
MYS CB1 300 48.5
CC AUD 50 88
CC COM 100 171
CB1 AUD 300 200
AUD COM 300 144.5
AUD FE2 125 167
COM MEM 75 157
COM BIB 150 260
BIB MEU 150 230
FE2 FE1 75 119
FE1 FE2 90 137
FE1 QYP 150 90
FE1 ELE 150 75
ELE EGE 100 100
ELE MEM 200 57
MEM EGE 200 57
MEM MEU 200 80
MEU ENE 200 157
ENE MEU 75 123
QYP EGE 12 163.5
EGE ENE 75 169.5
